time_step,uav_id,uav_x,uav_y,true_target_x,true_target_y,true_target_vx,true_target_vy,radar_id,true_range,true_bearing,true_radial_velocity,measured_range,measured_bearing,measured_radial_velocity,detected_x,detected_y,radar_confidence,radar_snr,radar_track_id,track_status,false_alarm_flag,missed_detection_flag,clutter_flag,dropout_flag,latency_steps,fusion_mode,fused_x,fused_y,action_taken,collision_risk_flag,near_miss_flag,unnecessary_avoidance_flag,missed_response_flag,mission_success_flag,formation_error
28,3,23.424,22.9747,50.0,50.0,0.0,0.0,3,38.3029,0.79341,-1.9987,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3999
29,0,13.6781,13.288,50.0,50.0,0.0,0.0,0,52.0434,0.79052,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3846
29,1,13.7898,23.1694,50.0,50.0,0.0,0.0,1,45.4648,0.63867,-1.9879,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3846
29,2,22.6929,14.2098,50.0,50.0,0.0,0.0,2,45.4176,0.91865,-1.9981,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3846
29,3,23.7145,23.2497,50.0,50.0,0.0,0.0,3,37.9032,0.79378,-1.9987,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3846
30,0,13.9673,13.5643,50.0,50.0,0.0,0.0,0,51.6435,0.79074,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3696
30,1,14.0828,23.4417,50.0,50.0,0.0,0.0,1,45.0673,0.6377,-1.9877,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3696
30,2,22.9493,14.5168,50.0,50.0,0.0,0.0,2,45.018,0.91904,-1.9981,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3696
30,3,24.005,23.5247,50.0,50.0,0.0,0.0,3,37.5034,0.79416,-1.9987,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3696
31,0,14.2566,13.8406,50.0,50.0,0.0,0.0,0,51.2437,0.79096,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3546
31,1,14.3758,23.714,50.0,50.0,0.0,0.0,1,44.6698,0.6367,-1.9874,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3546
31,2,23.2057,14.8238,50.0,50.0,0.0,0.0,2,44.6184,0.91944,-1.998,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3546
31,3,24.2955,23.7997,50.0,50.0,0.0,0.0,3,37.1037,0.79455,-1.9987,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3546
32,0,14.5459,14.1168,50.0,50.0,0.0,0.0,0,50.8438,0.79118,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3399
32,1,14.6688,23.9863,50.0,50.0,0.0,0.0,1,44.2723,0.63569,-1.9872,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3399
32,2,23.4622,15.1307,50.0,50.0,0.0,0.0,2,44.2188,0.91984,-1.998,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3399
32,3,24.5859,24.0747,50.0,50.0,0.0,0.0,3,36.7039,0.79495,-1.9986,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3399
33,0,14.8351,14.3931,50.0,50.0,0.0,0.0,0,50.444,0.79141,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3253
